Genotype,value
check,59.9035611155399
commercialUNL,52.5476168002116
PI152651,46.5347177926501
PI17548,52.3141897987506
PI24969,70.878155978181
PI329440,52.3513600389468
PI34911,82.2087764371204
PI35038,66.3848685310727
PI48770,65.6344091721022
PI533750,51.3645596436254
PI533752,66.7231885390931
PI533754,46.9568735042032
PI533755,63.0446232965619
PI533757,58.9450999608241
PI533758,53.8678336033171
PI533759,51.5179535136978
PI533760,61.1300127650665
PI533761,67.8382735504794
PI533762,53.2755367220697
PI533766,52.0889460571735
PI533769,40.5706699070835
PI533776,51.8438688390147
PI533785,52.5204698969448
PI533788,51.2653887707406
PI533789,58.9798212781086
PI533792,60.849127563791
PI533794,60.9924407866804
PI533799,61.8189728914682
PI533800,67.0567234739409
PI533807,67.844471333172
PI533810,63.3059874645085
PI533814,66.1586228783541
PI533821,60.9678931062148
PI533822,58.3901523899759
PI533824,65.2926431176472
PI533830,49.3379482954413
PI533831,61.7396431119537
PI533833,52.6463463247662
PI533838,46.0645839116144
PI533839,58.2633772872695
PI533841,52.8820924075026
PI533842,67.6973083942959
PI533843,59.9739331281472
PI533845,55.225371524407
PI533852,55.7676662818756
PI533855,52.2282539920107
PI533856,70.0445571051787
PI533863,58.1119057988816
PI533866,51.6669459951914
PI533869,58.8857894549643
PI533871,59.8197227092694
PI533877,51.5819255573781
PI533878,69.5356105374731
PI533882,65.8201001863002
PI533901,57.5813445666114
PI533902,70.5391640976789
PI533903,65.4467123349188
PI533910,51.2763613113845
PI533911,54.4810109855912
PI533912,40.1929009313289
PI533913,51.6477357004016
PI533915,52.5997616792342
PI533919,58.0799387530947
PI533921,58.8844072341849
PI533924,66.4576024228669
PI533927,54.2536682093809
PI533936,57.4350481596598
PI533937,54.3336002170768
PI533938,61.4632984047967
PI533939,55.2091429116502
PI533940,54.3413951341149
PI533943,59.8341947260204
PI533948,55.4526779226689
PI533949,49.3598164296943
PI533954,51.2404163566637
PI533955,56.8161435742486
PI533957,54.2981615246604
PI533961,56.5981835145855
PI533962,65.0132660006212
PI533964,68.7276937566257
PI533965,66.9831795274267
PI533967,66.9418285522277
PI533970,61.7206643326671
PI533972,66.9743987804166
PI533976,64.2614576073713
PI533979,51.7118002766925
PI533980,65.6642710891025
PI533985,58.1709028087817
PI533986,58.5894818379434
PI533987,49.7711653832087
PI533989,67.3158209030565
PI533991,63.2561258260477
PI533996,52.1231411206362
PI533997,53.8068659583893
PI533998,49.9849852280344
PI534009,70.8687080998121
PI534021,76.3048063539609
PI534028,61.5856762185663
PI534037,51.2304862738339
PI534046,53.1591254934409
PI534047,46.964333876348
PI534053,65.0115515188983
PI534054,68.1351095249786
PI534063,64.075212055066
PI534070,44.2671453675122
PI534075,52.3562191005111
PI534079,54.1429242894148
PI534088,53.3732577592832
PI534092,58.9172925309049
PI534096,43.4008021234575
PI534097,53.3137186243172
PI534099,58.952369388381
PI534101,57.5551230498805
PI534104,58.9603422306876
PI534105,60.1056290459143
PI534108,59.2230829337262
PI534112,65.4499192623775
PI534114,62.7816055774188
PI534115,58.7485568670575
PI534116,55.1408062228025
PI534117,53.1458298095044
PI534123,60.582228888432
PI534124,54.6669363725592
PI534127,58.714389690874
PI534128,64.5361250799022
PI534132,58.5939090446837
PI534133,68.2094811060226
PI534135,77.714356030355
PI534137,56.1145643418516
PI534139,51.3001390821606
PI534144,63.9240944511782
PI534145,49.753080178919
PI534148,53.4678236537943
PI534155,63.4165281229141
PI534157,53.9770861869616
PI534163,64.602516742808
PI534167,53.4079046164748
PI542406,83.2996230523438
PI542718,54.9204819571831
PI548797,65.7685882118708
PI552856,67.6446330142802
PI552861,57.5199966610436
PI561071,65.1159531801823
PI561072,61.3099779310107
PI561073,66.7092910673652
PI561472,76.2373734496414
PI564163,58.8415645306897
PI564164,62.1958740354313
PI564165,67.4057005884904
PI565121,61.8895585390214
PI566819,81.4403825971301
PI574455,68.1230404054267
PI576130,75.6019638587056
PI576332,47.0785177946981
PI576333,60.2964507579631
PI576337,54.9267770900802
PI576339,54.5022186824478
PI576340,62.8656325040848
PI576345,60.6426914123114
PI576347,46.5908640425321
PI576348,70.7844616884495
PI576349,57.8011292150051
PI576350,47.2391085221631
PI576352,52.9117712822746
PI576359,64.2697285480984
PI576364,52.2703736864898
PI576366,51.6022919680237
PI576373,58.2454343391013
PI576375,53.9569928515313
PI576376,56.2728665435925
PI576380,65.9869447405103
PI576381,60.3399953453189
PI576385,50.7752006137195
PI576386,71.4236378484692
PI576387,52.9190064384115
PI576390,50.2461804825484
PI576391,68.1131534670556
PI576393,53.5264865990715
PI576394,51.5004598112518
PI576396,63.2046432367141
PI576399,52.2048342300264
PI576401,69.4156703805228
PI576418,59.3296538668751
PI576422,58.3525065204937
PI576425,57.583906759078
PI576426,65.3902763103549
PI576428,61.1531789421318
PI576434,77.0187978319216
PI576435,61.8483575282014
PI576437,52.3395642360578
PI585291,61.4659963189934
PI585295,73.7684916096617
PI595699,60.8611247858691
PI595702,53.011994485819
PI595714,53.267888024029
PI595718,49.0223689656673
PI595720,50.6719164637626
PI595739,66.27190942389
PI595740,67.9546075365381
PI595741,52.6107540154989
PI595743,67.7012174490177
PI595744,52.1252487889335
PI595745,59.0161960482088
PI597945,58.1465683185618
PI597946,51.5262243392221
PI597949,67.4210118597523
PI597950,51.8886142858971
PI597951,53.3203616554379
PI597952,53.6273251690579
PI597957,51.166852651468
PI597958,62.2752719598308
PI597960,67.0503632335826
PI597961,60.85576299621
PI597964,69.9504820547835
PI597965,53.3237421839597
PI597966,59.7074469774211
PI597968,50.390394147637
PI597971,51.9426303649602
PI597972,51.0643013289314
PI597973,61.5520025981576
PI597976,51.7805663047614
PI597980,51.9593065953722
PI597982,44.54755828078
PI598070,65.4208237569832
PI601816,72.0651196099713
PI607931,63.9043504153556
PI609456,76.4713406196094
PI613536,56.9366726530312
PI629034,63.5726698275265
PI629040,63.358210353787
PI629059,63.9341160948201
PI641824,73.3194463018674
PI641836,79.4266344555832
PI641849,47.5542026463209
PI641874,51.6230138069426
PI642791,63.8676818368786
PI642793,54.9756368165705
PI642992,73.8646350383258
PI642998,56.3514532744427
PI651496,81.3348739740273
PI653616,75.3996283707817
PI653617,58.2053988951152
PI655970,70.488305941953
PI655971,50.805011489665
PI655972,64.6891176486732
PI655973,61.0819168237498
PI655974,60.2118057657758
PI655975,61.2613204187895
PI655976,58.3839194269617
PI655977,57.6068302154073
PI655978,64.6026299691617
PI655979,53.4690599156457
PI655980,54.2523626103261
PI655981,65.9364585641392
PI655982,54.382949076186
PI655983,74.0334536464129
PI655984,54.7908901525463
PI655985,61.6075301228178
PI655986,64.7090201872521
PI655987,51.9303884741298
PI655988,54.920945086553
PI655989,53.8999948238641
PI655990,53.7210019791744
PI655991,60.9539873955606
PI655992,56.0219578575333
PI655993,59.6524617345733
PI655994,54.8916965394763
PI655995,61.3417131239788
PI655996,68.8227346422052
PI655997,62.8565138067697
PI655998,52.636936922006
PI655999,55.5400258641607
PI656000,54.1333814227974
PI656001,65.0325056736802
PI656002,61.2723573725712
PI656003,62.1204034219702
PI656004,65.6225278053121
PI656005,51.2742765299935
PI656006,67.4847534490142
PI656007,61.6269945785412
PI656008,65.1586103924981
PI656009,63.0638231043431
PI656010,68.3776609074938
PI656011,71.194846916445
PI656012,71.2753104433684
PI656013,62.1189296375547
PI656014,59.1454857828888
PI656015,56.2352079374983
PI656016,63.107072558736
PI656018,61.8446214881509
PI656019,51.9725591091454
PI656020,52.1342980083644
PI656022,65.2324237628775
PI656023,60.6595377588666
PI656024,68.4484419824982
PI656025,53.9376607217919
PI656026,66.013010738907
PI656027,65.8959741827621
PI656028,69.5586155800469
PI656029,64.8425804008086
PI656031,59.5943819815837
PI656032,76.6151903037347
PI656033,68.5938536447165
PI656034,71.3225897109291
PI656035,56.2617491844021
PI656036,75.0358480866691
PI656037,64.5110971652364
PI656038,77.9523148960307
PI656039,66.8535061698467
PI656040,68.07941154753
PI656041,71.2112459402335
PI656042,62.7220330360543
